timestamp,src_ip,dst_ip,dst_port,protocol,service,flag,src_bytes,dst_bytes,threat_type,severity
2026-08-08T05:19:49.876481+00:00,93.184.216.34,10.0.3.169,22,icmp,eco_i,SF,18,0,Port Scan,medium
2026-08-08T05:19:52.876481+00:00,192.168.1.105,10.0.3.142,443,tcp,telnet,SF,0,44,Normal,low
2026-08-08T05:19:55.876481+00:00,198.51.100.44,10.0.3.183,80,tcp,private,REJ,0,0,DDoS,high
2026-08-08T05:19:58.876481+00:00,203.0.113.140,10.0.3.226,22,tcp,telnet,SF,125,174,Brute Force,high
2026-08-08T05:20:01.876481+00:00,203.0.113.140,10.0.3.163,22,tcp,pop_3,SF,32,93,Brute Force,high
2026-08-08T05:20:04.876481+00:00,45.33.32.19,10.0.3.37,80,tcp,finger,RSTO,0,0,DDoS,high
2026-08-08T05:20:07.876481+00:00,172.16.0.22,10.0.3.77,22,tcp,smtp,REJ,0,0,Normal,low
2026-08-08T05:20:10.876481+00:00,193.27.228.12,10.0.3.57,80,icmp,eco_i,SF,8,0,Port Scan,medium
2026-08-08T05:20:13.876481+00:00,185.220.101.45,10.0.3.174,22,tcp,other,REJ,0,0,Port Scan,medium
2026-08-08T05:20:16.876481+00:00,45.33.32.19,10.0.3.195,80,tcp,time,RSTO,0,0,DDoS,high
2026-08-08T05:20:19.876481+00:00,185.220.101.5,10.0.3.123,80,tcp,private,REJ,0,0,DDoS,high
2026-08-08T05:20:22.876481+00:00,45.33.32.19,10.0.3.175,80,tcp,http,SF,54540,8314,DDoS,high
2026-08-08T05:20:25.876481+00:00,192.168.1.142,10.0.3.184,21,tcp,http,SF,282,2120,Normal,low
2026-08-08T05:20:28.876481+00:00,203.0.113.88,10.0.3.74,80,tcp,private,REJ,0,0,DDoS,high
2026-08-08T05:20:31.876481+00:00,10.0.4.15,10.0.3.97,21,tcp,http,SF,320,495,Normal,low
2026-08-08T05:20:34.876481+00:00,203.0.113.88,10.0.3.192,80,tcp,private,REJ,0,0,DDoS,high
2026-08-08T05:20:37.876481+00:00,192.168.1.142,10.0.3.159,443,tcp,http,SF,276,1291,Normal,low
2026-08-08T05:20:40.876481+00:00,192.168.1.142,10.0.3.96,80,tcp,smtp,SF,18158,333,Normal,low
2026-08-08T05:20:43.876481+00:00,45.33.32.19,10.0.3.11,80,icmp,ecr_i,SF,1008,0,DDoS,high
2026-08-08T05:20:46.876481+00:00,10.0.4.15,10.0.3.111,80,tcp,ftp_data,SF,283618,0,Normal,low
2026-08-08T05:20:49.876481+00:00,185.220.101.5,10.0.3.229,80,tcp,private,REJ,0,0,DDoS,high
2026-08-08T05:20:52.876481+00:00,10.0.4.15,10.0.3.60,21,icmp,eco_i,SF,20,0,Normal,low
2026-08-08T05:20:55.876481+00:00,172.16.0.22,10.0.3.78,21,udp,private,SF,52,55,Normal,low
2026-08-08T05:20:58.876481+00:00,198.51.100.44,10.0.3.32,80,tcp,efs,S0,0,0,DDoS,high
2026-08-08T05:21:01.876481+00:00,192.168.1.142,10.0.3.18,443,udp,private,SF,105,146,Normal,low
2026-08-08T05:21:04.876481+00:00,203.0.113.88,10.0.3.130,80,tcp,time,RSTO,0,0,DDoS,high
2026-08-08T05:21:07.876481+00:00,45.33.32.19,10.0.3.199,80,tcp,private,S0,0,0,DDoS,high
2026-08-08T05:21:10.876481+00:00,185.220.101.45,10.0.3.145,21,icmp,eco_i,SF,8,0,Port Scan,medium
2026-08-08T05:21:13.876481+00:00,192.168.1.142,10.0.3.94,21,tcp,http,RSTR,56504,0,Normal,low
2026-08-08T05:21:16.876481+00:00,10.0.4.15,10.0.3.104,22,tcp,telnet,S3,0,44,Normal,low
2026-08-08T05:21:19.876481+00:00,93.184.216.34,10.0.3.25,508,tcp,other,REJ,0,0,Port Scan,medium
2026-08-08T05:21:22.876481+00:00,10.0.4.15,10.0.3.117,80,tcp,other,S0,0,0,Normal,low
2026-08-08T05:21:25.876481+00:00,203.0.113.88,10.0.3.33,80,tcp,iso_tsap,S0,0,0,DDoS,high
2026-08-08T05:21:28.876481+00:00,203.0.113.88,10.0.3.136,80,tcp,http,SF,54540,8314,DDoS,high
2026-08-08T05:21:31.876481+00:00,192.0.2.77,10.0.3.199,22,tcp,telnet,SF,118,174,Brute Force,high
2026-08-08T05:21:34.876481+00:00,192.168.1.142,10.0.3.90,21,tcp,http,SF,303,331,Normal,low
2026-08-08T05:21:37.876481+00:00,172.16.0.22,10.0.3.148,508,tcp,http,RSTR,72564,0,Normal,low
2026-08-08T05:21:40.876481+00:00,185.220.101.45,10.0.3.48,508,tcp,other,REJ,0,0,Port Scan,medium
2026-08-08T05:21:43.876481+00:00,192.168.1.105,10.0.3.210,80,tcp,http,SF,237,668,Normal,low
2026-08-08T05:21:46.876481+00:00,192.168.1.105,10.0.3.59,22,icmp,ecr_i,SF,6408,0,Normal,low
2026-08-08T05:21:49.876481+00:00,10.0.4.15,10.0.3.118,508,tcp,http,SF,244,1157,Normal,low
2026-08-08T05:21:52.876481+00:00,192.168.1.105,10.0.3.219,443,tcp,http,SF,327,7129,Normal,low
2026-08-08T05:21:55.876481+00:00,185.220.101.5,10.0.3.60,80,tcp,netbios_dgm,REJ,0,0,DDoS,high
2026-08-08T05:21:58.876481+00:00,172.16.0.22,10.0.3.161,21,tcp,http,SF,299,1177,Normal,low
2026-08-08T05:22:01.876481+00:00,172.16.0.22,10.0.3.109,21,udp,domain_u,SF,44,77,Normal,low
2026-08-08T05:22:04.876481+00:00,192.0.2.77,10.0.3.31,22,tcp,telnet,SF,127,188,Brute Force,high
2026-08-08T05:22:07.876481+00:00,203.0.113.140,10.0.3.127,22,tcp,pop_3,SF,32,93,Brute Force,high
2026-08-08T05:22:10.876481+00:00,203.0.113.140,10.0.3.164,22,tcp,telnet,SF,122,188,Brute Force,high
2026-08-08T05:22:13.876481+00:00,192.168.1.142,10.0.3.57,22,tcp,imap4,SF,0,0,Normal,low
2026-08-08T05:22:16.876481+00:00,193.27.228.12,10.0.3.30,443,tcp,nnsp,SH,0,0,Port Scan,medium
2026-08-08T05:22:19.876481+00:00,192.168.1.105,10.0.3.17,22,tcp,http,SF,339,720,Normal,low
2026-08-08T05:22:22.876481+00:00,203.0.113.140,10.0.3.218,22,tcp,pop_3,SF,28,93,Brute Force,high
